"ccn","impute_discharge","impute_drg100","impute_drg101","impute_neuro1","impute_neuro2","total_discharges","drg_100","drg_101","total_beds_min","total_beds_max","cec","num_neuro_afl_1","num_neuro_afl_2","zip","estimation"
"330073",0,0,0,0,0,542,0,0,91,143,0,1,3,14020,108
"330074",0,0,0,0,0,708,0,0,97,147,0,4,3,14424,135
"330078",0,0,0,0,0,1379,0,0,96,375,0,9,11,14214,323
"330079",0,0,0,0,0,406,0,0,67,142,0,1,1,12983,64
"330080",0,0,0,0,0,900,12,34,540.7,1459.4,0,12,2,10451,789
"330084",0,0,0,0,0,370,0,0,32,48,0,1,1,12953,35
"330085",0,0,0,1,1,750,0,0,42,53,0,1,2,13820,68
"330086",0,0,0,0,0,278,0,0,40.7,60,0,1,1,10550,37
"330088",0,0,0,1,1,162,0,0,18,69,0,1,1,11944,23
"330090",0,0,0,0,0,2329,0,15,200,227,0,10,2,14905,351
"330094",0,0,0,0,0,1020,0,0,90,129,0,8,4,12534,178
"330096",0,0,0,0,0,267,0,0,36,61,0,1,1,14895,34
"330100",1,1,1,1,1,198,0,0,14.3,20,0,2,1,10003,22
"330102",0,0,0,0,0,1011,0,0,120,166,0,2,4,14217,162
"330103",0,0,0,0,0,2182,0,0,0,226,0,6,5,14760,192
"330104",0,0,0,0,0,2909,13,25,183,355,0,10,2,10960,513
"330107",0,0,0,0,1,3346,0,16,0,206,0,6,1,11901,260
"330108",0,0,0,1,1,13,0,0,73,54,0,1,2,14901,55
"330111",0,0,0,1,1,96,0,0,21,38,0,2,1,14141,24
"330115",0,0,0,0,0,387,0,0,0,44,0,2,2,13421,39
"330125",0,0,0,0,0,4790,20,31,607,981,0,26,23,14621,1310
"330126",0,0,0,0,0,7307,25,57,543,543,0,24,9,10940,1286
"330127",0,0,0,0,0,1359,15,34,601.7,1736,0,8,6,10461,918
"330128",0,0,0,0,0,1163,12,15,569,1423,0,24,1,11373,770
"330135",0,0,0,0,1,606,0,0,47.2,105,0,2,1,12771,64
"330136",0,0,0,0,1,2433,0,11,152,164,0,12,5,13326,356
"330140",0,0,0,0,1,7112,0,0,262.1,515.6,0,19,1,13203,562
"330141",0,0,0,0,0,4584,19,34,143.9,265.9,0,11,4,11772,662
"330144",1,1,1,0,0,68,0,0,8,12,0,1,2,14810,21
"330151",0,0,0,0,0,152,0,0,18.2,19,0,3,2,14843,41
"330153",0,0,0,0,0,3380,13,19,290,316,0,13,3,12308,579
"330154",1,1,1,0,0,8710,53,81,514,643,0,39,1,10065,1613
"330157",0,0,0,0,0,1450,0,0,109.4,197,0,9,6,13601,244
"330158",0,0,0,0,0,4009,0,30,241.1,265.4,0,9,5,10901,549
"330162",0,0,0,0,0,1911,0,0,192,256,0,13,3,10549,291
"330163",0,0,0,0,1,361,0,0,25,70,0,1,1,14094,34
"330164",0,0,0,0,0,2467,0,16,250.9,431.9,0,1,9,14620,452
"330166",1,1,1,1,1,258,0,0,6,100.6,0,2,1,14787,30
"330169",0,0,0,0,0,5862,26,19,453.3,589.6,0,34,16,10003,1162
"330175",0,0,0,0,0,780,0,0,64.8,84.9,0,3,2,13045,96
"330180",0,0,0,0,0,1857,0,0,202.4,497.1,0,11,8,12180,378
"330181",0,0,0,0,0,1020,0,13,168,222,0,5,4,11542,273
"330182",0,0,0,0,0,9955,0,16,357,449.7,0,15,4,11576,805
"330184",0,0,0,0,0,1585,0,26,86,160,0,4,1,10802,267
"330185",0,0,0,0,0,4014,0,17,233,294,0,22,7,11777,585
"330188",0,0,0,0,1,527,0,0,48,87,0,3,1,14092,65
"330191",0,0,0,0,0,2238,0,12,153,265.4,0,8,4,12801,330
"330193",0,0,0,0,0,1704,15,17,227,360,0,8,2,11355,450
"330194",0,0,0,0,0,7502,28,38,574.3,936,0,29,4,11219,1242
"330196",0,0,0,0,1,2631,18,40,347.1,987.6,0,17,23,11235,1083
"330197",0,0,0,0,0,913,0,0,87,111,0,2,4,13676,135
"330198",1,0,0,0,0,4861,25,36,409.9,493.1,0,22,6,11572,966
"330199",0,0,0,0,1,85,0,0,196.1,581.9,0,17,8,10029,352
