"ccn","total_discharges","drg_100","drg_101","total_beds_min","total_beds_max","cec","num_neuro_afl_1","num_neuro_afl_2"
"180138",226,0,0,71,80,0,4,1
"180139",380,0,0,55,55,0,1,1
"180141",2469,27,90,404,846,1,34,9
"180143",996,0,0,248.7,261,0,6,3
"180149",26,0,0,74,74,0,1,1
"180154",804,0,0,90,90,0,2,1
"181301",144,0,0,25.9,38,0,1,2
"181302",197,0,0,25,46,0,2,1
"181304",336,0,0,25,25,0,1,1
"181305",245,0,0,41,41,0,1,1
"181306",83,0,0,50,50,0,1,1
"181307",66,0,0,25,25,0,1,1
"181308",144,0,0,22,25,0,1,2
"181309",112,0,0,24,24,0,1,1
"181310",348,0,0,28.4,29,0,1,1
"181311",95,0,0,17.4,19,0,1,1
"181314",14,0,0,21,25,0,2,2
"181315",685,0,0,25,25,0,1,2
"181316",1029,0,0,25,30,0,2,2
"181317",68,0,0,25,25,0,2,1
"181318",254,0,0,25,25,0,2,1
"181319",213,0,0,30,30,0,1,1
"181320",456,0,0,23.8,25,0,2,1
"181321",13,0,0,25,25,0,2,1
"181322",388,0,0,25,33,0,2,1
"181323",69,0,0,25,25,0,2,1
"181324",336,0,0,25,25,0,1,1
"181325",96,0,0,24.9,25,0,2,1
"181327",483,0,0,32,41,0,1,1
"181328",79,0,0,25,35,0,1,1
"181329",1108,0,0,25,26.4,0,1,2
"181330",404,0,0,33.6,35,0,1,1
"181331",139,0,0,30,30,0,1,1
"181332",155,0,0,25,25,0,2,1
"182001",1252,0,0,30,414,0,4,1
"182002",170,0,0,23,23,0,1,1
"182003",78,0,0,30,30,0,1,1
"182004",586,0,0,33,33,0,1,3
"182005",161,0,0,15.5,16,0,2,1
"182006",77,0,0,32,37,0,2,1
"182008",418,0,0,26.3,37,0,1,2
"182009",482,0,0,35,36,0,2,1
"18T080",151,0,0,7,18,0,1,1
"18T130",509,0,0,12,19,0,1,3
"190002",6821,20,34,357,376,0,11,2
"190004",1475,0,0,98.3,159.6,0,4,3
"190005",772,12,0,228.9,388.4,0,16,14
"190006",167,0,0,79.4,96,0,2,3
"190007",407,0,0,51.9,76,0,1,2
"190008",2294,0,11,0,219.1,0,3,2
"190011",254,0,0,73,98,0,2,1
"190013",574,0,0,28,58,0,1,1
"190014",240,0,0,33,124.1,0,2,2
"190015",3066,16,23,227,353,0,5,6
"190017",1539,0,0,81.7,195,0,3,2
"190019",3695,21,29,219,272,0,3,2
"190020",565,0,0,86.9,112,0,2,1
"190025",138,0,0,18,45,0,2,1
"190026",4249,30,55,208.4,351,0,2,1
"190027",2326,0,0,92,140.6,0,3,1
"190034",216,0,0,34.6,42.4,0,2,1
"190036",7213,65,90,771.1,1042.7,1,50,4
"190039",1248,16,18,142.9,298,0,12,5
